incident_description,type,department,severity
MAY LASING NA NAGWAWALA,vehicle_crash,police,low
Smoke and flames seen,fire,fire,medium
STREET FIGHT REPORTED,vehicle_crash,police,medium
Fire alarm triggered,fire,fire,medium
MAGNANAKAW NAHULI SA TINDAHAN,public_disturbance,police,medium
"May batang nawala, hinahanap ng magulang",flood,tanod,high
Building fire reported,fire,fire,high
UNAUTHORIZED ACCESS ATTEMPT,vehicle_crash,police,low
MAY TUMAWAG NG AMBULANSYA,healthcare,medical,medium
MAY TUMAWAG NG AMBULANSYA,healthcare,medical,high
Fire alarm triggered,fire,fire,high
FLOODING IN THE BASEMENT,public_disturbance,tanod,medium
Barilan sa pagitan ng dalawang grupo,vehicle_crash,police,medium
BUILDING FIRE REPORTED,fire,fire,medium
Barilan sa pagitan ng dalawang grupo,public_disturbance,police,medium
Unauthorized access attempt,vehicle_crash,police,medium
"May batang nawala, hinahanap ng magulang",flood,tanod,low
Protest blocking the street,public_disturbance,police,low
FIRE ALARM TRIGGERED,fire,fire,medium
MAY NASUSUNOG NA BAHAY,fire,fire,high
Ambulansya tumulong sa aksidente,healthcare,medical,high
Protest blocking the street,vehicle_crash,police,low
BARANGAY TANOD ASSISTED IN CROWD CONTROL,public_disturbance,tanod,low
"May batang nawala, hinahanap ng magulang",flood,tanod,high
BARANGAY TANOD ASSISTED IN CROWD CONTROL,public_disturbance,tanod,high
CAR COLLISION REPORTED,public_disturbance,police,low
Car collision reported,vehicle_crash,police,medium
Person collapsed,healthcare,medical,low
Fireworks caused a fire,fire,fire,high
BUILDING FIRE REPORTED,fire,fire,low
Loud noise complaint,flood,tanod,low
Heart attack reported,healthcare,medical,low
Multi-vehicle accident,public_disturbance,police,medium
Fire alarm triggered,fire,fire,medium
Nanakawan ng cellphone,vehicle_crash,police,low
Protest blocking the street,vehicle_crash,police,low
Unauthorized access attempt,vehicle_crash,police,low
Ambulansya tumulong sa aksidente,healthcare,medical,high
CAR COLLISION REPORTED,vehicle_crash,police,low
Malakas na ingay,flood,tanod,low
MAY NASUSUNOG NA BAHAY,fire,fire,high
Malakas na sigawan at away,public_disturbance,tanod,low
Loud noise complaint,public_disturbance,tanod,high
Fire in the kitchen,fire,fire,medium
MAY NASUSUNOG NA BAHAY,fire,fire,low
OVERFLOWING RIVER CAUSING FLOODING,flood,tanod,low
Unauthorized access attempt,public_disturbance,police,medium
"Malakas na baha, hindi madaanan",public_disturbance,tanod,low
Person collapsed,healthcare,medical,medium
FIRE ALARM TRIGGERED,fire,fire,high
Heart attack reported,healthcare,medical,high
MAY NASUSUNOG NA BAHAY,fire,fire,low
SUNOG SA RESIDENTIAL AREA,fire,fire,high
FIRE ALARM TRIGGERED,fire,fire,high
Injury reported,healthcare,medical,high
CAR COLLISION REPORTED,vehicle_crash,police,medium
May sugatan,healthcare,medical,low
FIRE IN THE KITCHEN,fire,fire,medium
Sunog sa residential area,fire,fire,low
Fire outbreak in the area,fire,fire,medium
"Explosion heard, possible fire",fire,fire,medium
Flooding due to heavy rain,public_disturbance,tanod,low
"Malakas na baha, hindi madaanan",flood,tanod,medium
SMOKE AND FLAMES SEEN,fire,fire,high
"Senior citizen nadulas, sugatan",healthcare,medical,medium
PERSON COLLAPSED,healthcare,medical,medium
MAGNANAKAW NAHULI SA TINDAHAN,public_disturbance,police,medium
MAY LASING NA NAGWAWALA,vehicle_crash,police,medium
Person collapsed,healthcare,medical,medium
Street fight reported,vehicle_crash,police,low
Street fight reported,vehicle_crash,police,medium
"SENIOR CITIZEN NADULAS, SUGATAN",healthcare,medical,medium
Person collapsed,healthcare,medical,high
Overflowing river causing flooding,public_disturbance,tanod,medium
"Ambulansya kailangan, may nahimatay",healthcare,medical,low
MAY LASING NA NAGWAWALA,public_disturbance,police,medium
Ambulansya tumulong sa aksidente,healthcare,medical,medium
FIRE OUTBREAK IN THE AREA,fire,fire,low
MEDICAL EMERGENCY,healthcare,medical,medium
CAR COLLISION REPORTED,public_disturbance,police,high
Barangay tanod assisted in crowd control,public_disturbance,tanod,low
LOUD NOISE COMPLAINT,flood,tanod,medium
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",public_disturbance,tanod,high
Injury reported,healthcare,medical,low
BUILDING FIRE REPORTED,fire,fire,low
"MALAKAS NA BAHA, HINDI MADAANAN",flood,tanod,low
Urgent medical assistance needed,healthcare,medical,low
AMBULANSYA TUMULONG SA AKSIDENTE,healthcare,medical,low
Malakas na sigawan at away,public_disturbance,tanod,medium
May nasusunog na bahay,fire,fire,low
PROTEST BLOCKING THE STREET,vehicle_crash,police,high
Barangay tanod assisted in crowd control,flood,tanod,high
Sunog sa residential area,fire,fire,high
Ambulansya tumulong sa aksidente,healthcare,medical,low
"AMBULANSYA KAILANGAN, MAY NAHIMATAY",healthcare,medical,medium
Heart attack reported,healthcare,medical,medium
"VEHICULAR COLLISION, MAY SUGATAN, EMERGENCY RESPONSE NEEDED",vehicle_crash,police,medium
PERSON COLLAPSED,healthcare,medical,high
FIRE OUTBREAK IN THE AREA,fire,fire,high
Heart attack reported,healthcare,medical,medium
Flooding due to heavy rain,public_disturbance,tanod,low
May lasing na nagwawala,vehicle_crash,police,high
Nanakawan ng cellphone,public_disturbance,police,medium
Sunog na kailangan ng bumbero,fire,fire,low
BARANGAY TANOD ASSISTED IN CROWD CONTROL,flood,tanod,medium
OVERFLOWING RIVER CAUSING FLOODING,public_disturbance,tanod,low
URGENT MEDICAL ASSISTANCE NEEDED,healthcare,medical,medium
Fire outbreak in the area,fire,fire,high
BUILDING FIRE REPORTED,fire,fire,medium
Loud noise complaint,flood,tanod,high
MAGNANAKAW NAHULI SA TINDAHAN,public_disturbance,police,high
Street fight reported,vehicle_crash,police,high
Building fire reported,fire,fire,high
Fireworks caused a fire,fire,fire,medium
"Senior citizen nadulas, sugatan",healthcare,medical,medium
INJURY REPORTED,healthcare,medical,high
Fire outbreak in the area,fire,fire,high
"Malakas na baha, hindi madaanan",public_disturbance,tanod,low
Person collapsed,healthcare,medical,medium
"Malakas na baha, hindi madaanan",flood,tanod,medium
Flooding due to heavy rain,public_disturbance,tanod,high
HEART ATTACK REPORTED,healthcare,medical,low
URGENT MEDICAL ASSISTANCE NEEDED,healthcare,medical,low
Multi-vehicle accident,public_disturbance,police,high
FIREWORKS CAUSED A FIRE,fire,fire,low
Fire alarm triggered,fire,fire,high
Flooding in the basement,flood,tanod,medium
Magnanakaw nahuli sa tindahan,public_disturbance,police,high
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",public_disturbance,tanod,low
UNAUTHORIZED ACCESS ATTEMPT,vehicle_crash,police,medium
Malakas na ingay,public_disturbance,tanod,medium
May tumawag ng ambulansya,healthcare,medical,high
Protest blocking the street,vehicle_crash,police,medium
INJURY REPORTED,healthcare,medical,medium
"Senior citizen nadulas, sugatan",healthcare,medical,medium
Street fight reported,public_disturbance,police,high
Multi-vehicle accident,public_disturbance,police,high
SUNOG NA KAILANGAN NG BUMBERO,fire,fire,medium
"VEHICULAR COLLISION, MAY SUGATAN, EMERGENCY RESPONSE NEEDED",vehicle_crash,police,high
Smoke and flames seen,fire,fire,low
BARANGAY TANOD ASSISTED IN CROWD CONTROL,public_disturbance,tanod,high
FIRE OUTBREAK IN THE AREA,fire,fire,high
"Vehicular collision, may sugatan, emergency response needed",public_disturbance,police,low
STREET FIGHT REPORTED,vehicle_crash,police,low
"VEHICULAR COLLISION, MAY SUGATAN, EMERGENCY RESPONSE NEEDED",public_disturbance,police,medium
"Malakas na baha, hindi madaanan",public_disturbance,tanod,high
FIRE ALARM TRIGGERED,fire,fire,high
Smoke and flames seen,fire,fire,low
Person collapsed,healthcare,medical,low
Smoke and flames seen,fire,fire,high
May sugatan,healthcare,medical,high
"Basurang nagbara sa kanal, nagdulot ng pagbaha",flood,tanod,high
PROTEST BLOCKING THE STREET,public_disturbance,police,medium
Protest blocking the street,vehicle_crash,police,low
Fire alarm triggered,fire,fire,low
Injury reported,healthcare,medical,medium
May sugatan,healthcare,medical,medium
BARILAN SA PAGITAN NG DALAWANG GRUPO,public_disturbance,police,medium
Fireworks caused a fire,fire,fire,high
FLOODING DUE TO HEAVY RAIN,flood,tanod,high
Malakas na ingay,flood,tanod,low
"SENIOR CITIZEN NADULAS, SUGATAN",healthcare,medical,medium
Malakas na ingay,public_disturbance,tanod,low
"MALAKAS NA BAHA, HINDI MADAANAN",public_disturbance,tanod,high
FIRE ALARM TRIGGERED,fire,fire,medium
Malakas na ingay,flood,tanod,medium
Heart attack reported,healthcare,medical,high
URGENT MEDICAL ASSISTANCE NEEDED,healthcare,medical,high
PROTEST BLOCKING THE STREET,vehicle_crash,police,low
MAY TUMAWAG NG AMBULANSYA,healthcare,medical,high
FLOODING IN THE BASEMENT,flood,tanod,medium
SMOKE AND FLAMES SEEN,fire,fire,high
MEDICAL EMERGENCY,healthcare,medical,medium
"Explosion heard, possible fire",fire,fire,low
BARANGAY TANOD ASSISTED IN CROWD CONTROL,public_disturbance,tanod,medium
PROTEST BLOCKING THE STREET,public_disturbance,police,medium
Flooding in the basement,flood,tanod,medium
"BASURANG NAGBARA SA KANAL, NAGDULOT NG PAGBAHA",public_disturbance,tanod,high
Loud noise complaint,public_disturbance,tanod,high
FIRE ALARM TRIGGERED,fire,fire,medium
PROTEST BLOCKING THE STREET,public_disturbance,police,low
"Vehicular collision, may sugatan, emergency response needed",public_disturbance,police,medium
FIRE ALARM TRIGGERED,fire,fire,high
Multi-vehicle accident,public_disturbance,police,medium
Flooding in the basement,public_disturbance,tanod,low
FLOODING DUE TO HEAVY RAIN,flood,tanod,low
BARILAN SA PAGITAN NG DALAWANG GRUPO,vehicle_crash,police,high
Fire outbreak in the area,fire,fire,high
UNAUTHORIZED ACCESS ATTEMPT,vehicle_crash,police,high
CAR COLLISION REPORTED,vehicle_crash,police,high
MAGNANAKAW NAHULI SA TINDAHAN,public_disturbance,police,medium
Loud noise complaint,flood,tanod,low
Ambulansya tumulong sa aksidente,healthcare,medical,medium
Flooding due to heavy rain,flood,tanod,medium
MALAKAS NA INGAY,public_disturbance,tanod,high
FIREWORKS CAUSED A FIRE,fire,fire,high
May nasusunog na bahay,fire,fire,low
Flooding due to heavy rain,public_disturbance,tanod,medium
MULTI-VEHICLE ACCIDENT,public_disturbance,police,medium
"Ambulansya kailangan, may nahimatay",healthcare,medical,medium
FLOODING DUE TO HEAVY RAIN,flood,tanod,medium
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",flood,tanod,medium
BARANGAY TANOD ASSISTED IN CROWD CONTROL,flood,tanod,high
SMOKE AND FLAMES SEEN,fire,fire,low
"Basurang nagbara sa kanal, nagdulot ng pagbaha",flood,tanod,low
Car collision reported,public_disturbance,police,high
MEDICAL EMERGENCY,healthcare,medical,high
May nasusunog na bahay,fire,fire,low
Medical emergency,healthcare,medical,low
FIREWORKS CAUSED A FIRE,fire,fire,medium
SUNOG SA RESIDENTIAL AREA,fire,fire,low
MAY SUGATAN,healthcare,medical,low
Car collision reported,public_disturbance,police,high
OVERFLOWING RIVER CAUSING FLOODING,public_disturbance,tanod,medium
CAR COLLISION REPORTED,public_disturbance,police,medium
MALAKAS NA INGAY,public_disturbance,tanod,medium
May tumawag ng ambulansya,healthcare,medical,medium
MULTI-VEHICLE ACCIDENT,vehicle_crash,police,high
LOUD NOISE COMPLAINT,flood,tanod,low
Street fight reported,public_disturbance,police,high
Injury reported,healthcare,medical,medium
FLOODING IN THE BASEMENT,flood,tanod,high
Multi-vehicle accident,public_disturbance,police,medium
FLOODING IN THE BASEMENT,public_disturbance,tanod,low
Fire in the kitchen,fire,fire,medium
SUNOG SA RESIDENTIAL AREA,fire,fire,medium
Smoke and flames seen,fire,fire,low
Protest blocking the street,vehicle_crash,police,low
URGENT MEDICAL ASSISTANCE NEEDED,healthcare,medical,low
MULTI-VEHICLE ACCIDENT,vehicle_crash,police,high
Fire alarm triggered,fire,fire,medium
MAGNANAKAW NAHULI SA TINDAHAN,public_disturbance,police,medium
FLOODING IN THE BASEMENT,public_disturbance,tanod,high
Sunog sa residential area,fire,fire,medium
May lasing na nagwawala,vehicle_crash,police,medium
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",public_disturbance,tanod,medium
May nasusunog na bahay,fire,fire,high
PROTEST BLOCKING THE STREET,vehicle_crash,police,high
FIREWORKS CAUSED A FIRE,fire,fire,low
Building fire reported,fire,fire,high
Malakas na sigawan at away,flood,tanod,low
Malakas na ingay,public_disturbance,tanod,high
Multi-vehicle accident,vehicle_crash,police,high
NANAKAWAN NG CELLPHONE,vehicle_crash,police,low
MALAKAS NA INGAY,public_disturbance,tanod,medium
STREET FIGHT REPORTED,public_disturbance,police,high
Malakas na ingay,flood,tanod,low
"May batang nawala, hinahanap ng magulang",public_disturbance,tanod,medium
FLOODING IN THE BASEMENT,public_disturbance,tanod,high
"Explosion heard, possible fire",fire,fire,high
Overflowing river causing flooding,flood,tanod,medium
FIRE IN THE KITCHEN,fire,fire,high
Barangay tanod assisted in crowd control,public_disturbance,tanod,medium
"Ambulansya kailangan, may nahimatay",healthcare,medical,low
Flooding due to heavy rain,public_disturbance,tanod,high
Overflowing river causing flooding,flood,tanod,low
BARILAN SA PAGITAN NG DALAWANG GRUPO,public_disturbance,police,high
Sunog na kailangan ng bumbero,fire,fire,high
MAY SUGATAN,healthcare,medical,medium
SMOKE AND FLAMES SEEN,fire,fire,high
MAY SUGATAN,healthcare,medical,high
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",public_disturbance,tanod,medium
"MALAKAS NA BAHA, HINDI MADAANAN",public_disturbance,tanod,medium
"MALAKAS NA BAHA, HINDI MADAANAN",public_disturbance,tanod,medium
May sugatan,healthcare,medical,medium
Car collision reported,vehicle_crash,police,medium
Flooding due to heavy rain,public_disturbance,tanod,low
Car collision reported,vehicle_crash,police,low
STREET FIGHT REPORTED,vehicle_crash,police,medium
BUILDING FIRE REPORTED,fire,fire,high
"SENIOR CITIZEN NADULAS, SUGATAN",healthcare,medical,medium
Sunog na kailangan ng bumbero,fire,fire,medium
Multi-vehicle accident,vehicle_crash,police,medium
MAY SUGATAN,healthcare,medical,medium
Fire in the kitchen,fire,fire,medium
SUNOG NA KAILANGAN NG BUMBERO,fire,fire,low
Barangay tanod assisted in crowd control,flood,tanod,medium
SMOKE AND FLAMES SEEN,fire,fire,medium
Fire alarm triggered,fire,fire,low
STREET FIGHT REPORTED,vehicle_crash,police,low
Magnanakaw nahuli sa tindahan,public_disturbance,police,high
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",public_disturbance,tanod,medium
"Ambulansya kailangan, may nahimatay",healthcare,medical,low
BARANGAY TANOD ASSISTED IN CROWD CONTROL,public_disturbance,tanod,medium
"Vehicular collision, may sugatan, emergency response needed",vehicle_crash,police,low
Medical emergency,healthcare,medical,medium
"Malakas na baha, hindi madaanan",flood,tanod,medium
Fire alarm triggered,fire,fire,low
Nanakawan ng cellphone,vehicle_crash,police,medium
FIREWORKS CAUSED A FIRE,fire,fire,medium
PERSON COLLAPSED,healthcare,medical,medium
MAY LASING NA NAGWAWALA,vehicle_crash,police,high
FLOODING DUE TO HEAVY RAIN,public_disturbance,tanod,medium
Injury reported,healthcare,medical,medium
Nanakawan ng cellphone,public_disturbance,police,medium
"SENIOR CITIZEN NADULAS, SUGATAN",healthcare,medical,low
MALAKAS NA SIGAWAN AT AWAY,public_disturbance,tanod,medium
MALAKAS NA SIGAWAN AT AWAY,public_disturbance,tanod,high
Heart attack reported,healthcare,medical,high
Building fire reported,fire,fire,medium
PERSON COLLAPSED,healthcare,medical,medium
Car collision reported,vehicle_crash,police,low
MAY NASUSUNOG NA BAHAY,fire,fire,high
"Ambulansya kailangan, may nahimatay",healthcare,medical,medium
Medical emergency,healthcare,medical,low
Urgent medical assistance needed,healthcare,medical,low
UNAUTHORIZED ACCESS ATTEMPT,public_disturbance,police,medium
Fire alarm triggered,fire,fire,medium
"VEHICULAR COLLISION, MAY SUGATAN, EMERGENCY RESPONSE NEEDED",public_disturbance,police,low
Ambulansya tumulong sa aksidente,healthcare,medical,high
Injury reported,healthcare,medical,low
Fireworks caused a fire,fire,fire,medium
SMOKE AND FLAMES SEEN,fire,fire,low
MALAKAS NA INGAY,flood,tanod,medium
Fire in the kitchen,fire,fire,low
"Ambulansya kailangan, may nahimatay",healthcare,medical,high
"May batang nawala, hinahanap ng magulang",public_disturbance,tanod,low
Urgent medical assistance needed,healthcare,medical,low
Loud noise complaint,public_disturbance,tanod,high
Person collapsed,healthcare,medical,low
Car collision reported,vehicle_crash,police,medium
Protest blocking the street,public_disturbance,police,high
Malakas na sigawan at away,public_disturbance,tanod,low
Injury reported,healthcare,medical,high
Barilan sa pagitan ng dalawang grupo,public_disturbance,police,high
"Vehicular collision, may sugatan, emergency response needed",public_disturbance,police,low
"Malakas na baha, hindi madaanan",public_disturbance,tanod,low
MALAKAS NA INGAY,public_disturbance,tanod,low
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",flood,tanod,medium
May lasing na nagwawala,vehicle_crash,police,medium
MAY LASING NA NAGWAWALA,public_disturbance,police,medium
FLOODING IN THE BASEMENT,public_disturbance,tanod,low
PROTEST BLOCKING THE STREET,vehicle_crash,police,medium
BUILDING FIRE REPORTED,fire,fire,medium
Car collision reported,public_disturbance,police,medium
May tumawag ng ambulansya,healthcare,medical,medium
Person collapsed,healthcare,medical,medium
Barangay tanod assisted in crowd control,public_disturbance,tanod,medium
MAY NASUSUNOG NA BAHAY,fire,fire,low
MAY TUMAWAG NG AMBULANSYA,healthcare,medical,low
May nasusunog na bahay,fire,fire,medium
FLOODING IN THE BASEMENT,flood,tanod,high
Fire in the kitchen,fire,fire,high
MULTI-VEHICLE ACCIDENT,vehicle_crash,police,high
Sunog sa residential area,fire,fire,medium
Barangay tanod assisted in crowd control,flood,tanod,low
FLOODING DUE TO HEAVY RAIN,flood,tanod,high
FIRE ALARM TRIGGERED,fire,fire,medium
Injury reported,healthcare,medical,low
MAGNANAKAW NAHULI SA TINDAHAN,public_disturbance,police,medium
Building fire reported,fire,fire,high
"Vehicular collision, may sugatan, emergency response needed",vehicle_crash,police,low
Smoke and flames seen,fire,fire,high
Unauthorized access attempt,public_disturbance,police,low
Nanakawan ng cellphone,public_disturbance,police,medium
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",public_disturbance,tanod,low
Heart attack reported,healthcare,medical,medium
PROTEST BLOCKING THE STREET,public_disturbance,police,low
Urgent medical assistance needed,healthcare,medical,medium
"VEHICULAR COLLISION, MAY SUGATAN, EMERGENCY RESPONSE NEEDED",public_disturbance,police,medium
INJURY REPORTED,healthcare,medical,high
Protest blocking the street,vehicle_crash,police,high
May nasusunog na bahay,fire,fire,high
Car collision reported,vehicle_crash,police,medium
Barangay tanod assisted in crowd control,flood,tanod,medium
Street fight reported,public_disturbance,police,medium
Street fight reported,vehicle_crash,police,high
MAY LASING NA NAGWAWALA,vehicle_crash,police,medium
"SENIOR CITIZEN NADULAS, SUGATAN",healthcare,medical,low
Barangay tanod assisted in crowd control,public_disturbance,tanod,medium
BARANGAY TANOD ASSISTED IN CROWD CONTROL,public_disturbance,tanod,low
AMBULANSYA TUMULONG SA AKSIDENTE,healthcare,medical,low
BARILAN SA PAGITAN NG DALAWANG GRUPO,vehicle_crash,police,low
"AMBULANSYA KAILANGAN, MAY NAHIMATAY",healthcare,medical,high
Person collapsed,healthcare,medical,low
INJURY REPORTED,healthcare,medical,low
MALAKAS NA SIGAWAN AT AWAY,public_disturbance,tanod,high
FIRE IN THE KITCHEN,fire,fire,medium
Fire alarm triggered,fire,fire,medium
MAY TUMAWAG NG AMBULANSYA,healthcare,medical,low
Sunog sa residential area,fire,fire,high
Injury reported,healthcare,medical,medium
FIREWORKS CAUSED A FIRE,fire,fire,medium
HEART ATTACK REPORTED,healthcare,medical,medium
Barangay tanod assisted in crowd control,flood,tanod,medium
HEART ATTACK REPORTED,healthcare,medical,low
SUNOG NA KAILANGAN NG BUMBERO,fire,fire,low
Car collision reported,public_disturbance,police,low
SUNOG NA KAILANGAN NG BUMBERO,fire,fire,medium
Person collapsed,healthcare,medical,medium
Injury reported,healthcare,medical,low
Fireworks caused a fire,fire,fire,medium
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",flood,tanod,medium
May sugatan,healthcare,medical,high
MAY TUMAWAG NG AMBULANSYA,healthcare,medical,high
"MALAKAS NA BAHA, HINDI MADAANAN",public_disturbance,tanod,low
Car collision reported,vehicle_crash,police,low
HEART ATTACK REPORTED,healthcare,medical,high
"May batang nawala, hinahanap ng magulang",public_disturbance,tanod,medium
Sunog sa residential area,fire,fire,high
MEDICAL EMERGENCY,healthcare,medical,high
FLOODING DUE TO HEAVY RAIN,public_disturbance,tanod,medium
CAR COLLISION REPORTED,public_disturbance,police,medium
Medical emergency,healthcare,medical,high
"VEHICULAR COLLISION, MAY SUGATAN, EMERGENCY RESPONSE NEEDED",vehicle_crash,police,medium
"MAY BATANG NAWALA, HINAHANAP NG MAGULANG",public_disturbance,tanod,medium
Person collapsed,healthcare,medical,high
May sugatan,healthcare,medical,medium
MAY LASING NA NAGWAWALA,vehicle_crash,police,high
FIRE ALARM TRIGGERED,fire,fire,medium
"Explosion heard, possible fire",fire,fire,high
May tumawag ng ambulansya,healthcare,medical,high
MAY TUMAWAG NG AMBULANSYA,healthcare,medical,high
"VEHICULAR COLLISION, MAY SUGATAN, EMERGENCY RESPONSE NEEDED",vehicle_crash,police,medium
Ambulansya tumulong sa aksidente,healthcare,medical,high
SUNOG SA RESIDENTIAL AREA,fire,fire,medium
FLOODING IN THE BASEMENT,flood,tanod,medium
MAGNANAKAW NAHULI SA TINDAHAN,public_disturbance,police,high
Protest blocking the street,public_disturbance,police,low
URGENT MEDICAL ASSISTANCE NEEDED,healthcare,medical,medium
Barilan sa pagitan ng dalawang grupo,vehicle_crash,police,low
"Senior citizen nadulas, sugatan",healthcare,medical,medium
"May batang nawala, hinahanap ng magulang",public_disturbance,tanod,high
Malakas na sigawan at away,flood,tanod,high
INJURY REPORTED,healthcare,medical,medium
URGENT MEDICAL ASSISTANCE NEEDED,healthcare,medical,high
MAY LASING NA NAGWAWALA,vehicle_crash,police,medium
Nanakawan ng cellphone,public_disturbance,police,medium
"May batang nawala, hinahanap ng magulang",flood,tanod,low
Ambulansya tumulong sa aksidente,healthcare,medical,high
Barangay tanod assisted in crowd control,flood,tanod,low
LOUD NOISE COMPLAINT,flood,tanod,low
Fireworks caused a fire,fire,fire,medium
"SENIOR CITIZEN NADULAS, SUGATAN",healthcare,medical,high
Barilan sa pagitan ng dalawang grupo,public_disturbance,police,medium
PROTEST BLOCKING THE STREET,public_disturbance,police,high
